"Reference","Qty","Value","DNP","Exclude from Board","MANUFACTURER","Manufacturer_Part_Number","Link"
"AE1","1","PCB_antenna","","Excluded from board","","",""
"AE2","1","AMCA31-2R450G-S1F-T3","","","ABRACON","AMCA31-2R450G-S1F-T3","https://www.mouser.ch/ProductDetail/ABRACON/AMCA31-2R450G-S1F-T3?qs=AAveGqk956GLuOddQEK40Q%3D%3D"
"C1,C2,C28,C30,C32,C40,C41,C42,C43,C45,C46,C47,C51","13","100nF","","","Samsung Electro-Mechanics","CL05B104KP5VPNC","https://www.mouser.ch/ProductDetail/Samsung-Electro-Mechanics/CL05B104KP5VPNC?qs=gqBM4hNBiUXTv%252BkFO9q2pQ%3D%3D"
"C3,C4","2","10pF","","","KYOCERA AVX","0603ZC100KAT2A","https://www.mouser.ch/ProductDetail/KYOCERA-AVX/0603ZC100KAT2A?qs=jGANiKWBgcibzoGXAkKY5Q%3D%3D"
"C5,C7,C8,C10,C11,C13,C14,C15,C17,C18,C20,C22,C23,C24,C25,C26,C27","17","150pF","","","KEMET","C0402C151K5RACTU","https://www.mouser.ch/ProductDetail/KEMET/C0402C151K5RACTU?qs=bH0hdZQCdBIE%252BjkzdJGatg%3D%3D"
"C6,C9,C12,C19,C44","5","1uF","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","https://www.mouser.ch/ProductDetail/Samsung-Electro-Mechanics/CL05A105KP5NNNC?qs=X6jEic%2FHinBsUeNeR9HD7w%3D%3D"
"C16,C29,C31,C33,C50,C52","6","10uF","","","Murata Electronics","GRM155R61A106ME11D","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM155R61A106ME11D?qs=xZ%2FP%252Ba9zWqZMJSi57Q8OyA%3D%3D"
"C21","1","1 uF","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","https://www.mouser.ch/ProductDetail/Samsung-Electro-Mechanics/CL05A105KP5NNNC?qs=X6jEic%2FHinBsUeNeR9HD7w%3D%3D"
"C34","1","0.8pF","","","Murata Electronics","GRM1555C1HR80BA01D","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM1555C1HR80BA01D?qs=e%252BE4OD6MgMezPYPintwvrA%3D%3D"
"C35","1","0.3pF","","","Murata Electronics"," GRM1555C1HR30WA01D ","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRM1555C1HR30WA01D?qs=e%252BE4OD6MgMcS%252BbE0ktTutg%3D%3D"
"C38","1","1.5pF","","","Walsin","0402N1R5B100CT ","https://www.mouser.ch/ProductDetail/Walsin/0402N1R5B100CT?qs=ZrPdAQfJ6DObCBhS8paADQ%3D%3D"
"C48,C56","2","470nF","","","KEMET","C0402C473K8RACAUTO7411","https://www.mouser.ch/ProductDetail/KEMET/C0402C473K8RACAUTO7411?qs=sSYV1F9c5cEF%2FA7Et64KMA%3D%3D"
"C49","1","4.7uF","","","YAGEO","CC0402KRX5R6BB475","https://www.mouser.ch/ProductDetail/YAGEO/CC0402KRX5R6BB475?qs=tS%2FAHvPQ%2F57yk%252BaeAkyovA%3D%3D"
"C53,C54","2","27pF","","","KYOCERA AVX","08055C270KAT2A","https://www.mouser.ch/ProductDetail/KYOCERA-AVX/08055C270KAT2A?qs=ykEKLGTiBcy%2FccVg1dGO5g%3D%3D"
"C55","1","220nF","","","Murata Electronics","GRT155R71A224KE01D","https://www.mouser.ch/ProductDetail/Murata-Electronics/GRT155R71A224KE01D?qs=qkDYIeTQ%252BEkMujM%252BGJvzUg%3D%3D"
"D1,D4,D5,D6","4","IN_S42BT LED","","","Inolux","IN-S42BT5G ","https://www.mouser.ch/ProductDetail/Inolux/IN-S42BT5G?qs=mAH9sUMRCttW6d2tLN392Q%3D%3D"
"D2,D3","2","PMEG4030AEXE-QX","","","Nexperia","PMEG4030AEXE-QX","https://www.mouser.ch/ProductDetail/Nexperia/PMEG4030AEXE-QX?qs=olJun0bQHM9XKv%2FbcqOajw%3D%3D"
"FL1","1","DLF162500LT-5028A1","","","TDK","DLF162500LT-5028A1","https://www.mouser.ch/ProductDetail/TDK/DLF162500LT-5028A1?qs=U%2FZX79kHR%2FlwIbAISCs3qA%3D%3D"
"H1,H2","2","MountingHole","","Excluded from board","","",""
"J1,J2","2","Conn_01x08_Pin","","","","",""
"J3","1","Conn_01x06_Pin","","","","",""
"J4,J5,J8,J9","4","Conn_01x03_Pin","","","","",""
"J6,J7","2","Conn_01x02_Pin","","","","",""
"J10","1","CONMHF1-SMD-G-T","","","TE Connectivity / Linx Technologies","CONMHF1-SMD-G-T","https://www.mouser.ch/ProductDetail/TE-Connectivity-Linx-Technologies/CONMHF1-SMD-G-T?qs=7D1LtPJG0i0JqNJVGTgWfg%3D%3D"
"J11","1","USB4215-03-A_REVA","","","CGT","USB4215-03-A","https://www.mouser.ch/ProductDetail/GCT/USB4215-03-A?qs=IKkN%2F947nfBipec8wvDabA%3D%3D"
"JP1","1","SolderJumper_2_Bridged","","","","",""
"L1","1","2.7nH","","","Murata Electronics","LQG15HS2N7S02D","https://www.mouser.ch/ProductDetail/Murata-Electronics/LQG15HS2N7S02D?qs=ctz47l0uL1AKrLI74yO5Qw%3D%3D"
"L2","1","3.9nH","","","TE Connectivity / Sigma Inductors","36550402S3N9T ","https://www.mouser.ch/ProductDetail/TE-Connectivity-Sigma-Inductors/36550402S3N9T?qs=i8QVZAFTkqQazOkGct7ESA%3D%3D"
"L3","1","2.2uH","","","Wurth Elektronik","74479774222","https://www.mouser.ch/ProductDetail/Wurth-Elektronik/74479774222?qs=%252BUQ4csG8Rsd58%2FKCVoLnRw%3D%3D"
"Q1","1","DMP3056LSS-13","","","Diodes Incorporated","DMP3056LSS-13","https://www.mouser.ch/ProductDetail/Diodes-Incorporated/DMP3056LSS-13?qs=oUsD4qhOtFyEnPLZKitYRA%3D%3D"
"Q2,Q3","2","DMN66D0LT-7","","","Diodes Incorporated","DMN66D0LT-7","https://www.mouser.ch/ProductDetail/Diodes-Incorporated/DMN66D0LT-7?qs=ptj1V1atRApcnSIo%2FSL0QQ%3D%3D"
"R1,R2,R3,R4,R7,R8,R10,R11,R14,R20","10","100R","","","KOA Speer","RK73B1ETTPD101J","https://www.mouser.ch/ProductDetail/KOA-Speer/RK73B1ETTPD101J?qs=7ZBenkSduJQ3N2lLjwh2jA%3D%3D"
"R5,R6,R9,R12,R13,R17,R18,R19,R21","9","10k","","","Wurth Elektronik","560112110020 ","https://www.mouser.ch/ProductDetail/Wurth-Elektronik/560112110020?qs=mELouGlnn3fA8%252B%2F79%2FueqA%3D%3D"
"R15,R16","2","5.1k","","","YAGEO","AC0402JR-075K1L","https://www.mouser.ch/ProductDetail/YAGEO/AC0402JR-075K1L?qs=ygRr%2Ftkhtev1AbJgasJMAQ%3D%3D"
"SW1,SW2","2","TL3305BF100QG","","","E-Switch","TL3305BF100QG","https://www.mouser.ch/ProductDetail/E-Switch/TL3305BF100QG?qs=IKkN%2F947nfDIPwqPQja%252BvQ%3D%3D"
"TP1,TP3,TP5,TP6,TP12,TP13","6","PN5260","","","Keystone","5260","https://www.mouser.ch/ProductDetail/Keystone-Electronics/5260?qs=W%2FMpXkg%252BdQ5ZyD03UfNp6A%3D%3D"
"TP2,TP4,TP7,TP8,TP11","5","TestPoint","","Excluded from board","","",""
"TP9","1","5V","","Excluded from board","","",""
"TP10","1","5V-","","Excluded from board","","",""
"U1","1","STM32WBA63CIU6","","","STMicroelectronics"," STM32WBA63CIU6","https://www.mouser.ch/ProductDetail/STMicroelectronics/STM32WBA63CIU6?qs=a2MtRaTmNORvrgIwkIejkg%3D%3D"
"U2","1","OPA192IDR","","","TI","OPA192IDR","https://www.mouser.ch/ProductDetail/Texas-Instruments/OPA192IDR?qs=wrT8kFYR77%252BLV20WgpFlnQ%3D%3D"
"U3","1","REF5025AQDRQ1","","","TI","REF5025AQDRQ1","https://www.mouser.ch/ProductDetail/Texas-Instruments/REF5025AQDRQ1?qs=jnnG3uwte7w8iuVSV8mElA%3D%3D"
"U4","1","ADS7953SBDBT","","","TI","ADS7953SBDBT","https://www.mouser.ch/ProductDetail/Texas-Instruments/ADS7953SBDBT?qs=Lv5%252BaqTFJEPgQ17SA2TUyg%3D%3D"
"U5","1","LD1117S50TR_SOT223","","","STMicroelectronics","LD1117S50TR","https://www.mouser.ch/ProductDetail/STMicroelectronics/LD1117S50TR?qs=eQN2Ig5lfEwsh0kTXN%2FkTg%3D%3D"
"U6","1","LD1117S33TR_SOT223","","","STMicroelectronics","LD1117S33TR","https://www.mouser.ch/ProductDetail/STMicroelectronics/LD1117S33TR?qs=edoyzKMbmhntQZx4BFmoqw%3D%3D"
"U7","1","LD1117DT18TR","","","STMicroelectronics","LD1117DT18TR","https://www.mouser.ch/ProductDetail/STMicroelectronics/LD1117DT18TR?qs=rkyzKKi%2FrgiTGfkwrcFd%252BA%3D%3D"
